gene,strand,AGR_pos,wt_codon,type,mRNA_CGA,mRNA_CGC,mRNA_CGG,mRNA_CGT,RBS_CGA,RBS_CGC,RBS_CGG,RBS_CGT
yehM,1,1684,AGA,remaining AGR,0.9953,1.081,1.1532,1.0152,0.4867,0.5827,0.5326,0.6376
mlrA,1,73,AGG,remaining AGR,1.06,1.1122,1.0481,1.075,0.1832,0.0305,0.2968,0.1075
yehW,-1,697,AGG,remaining AGR,0.9149,0.9165,0.9664,0.9165,1.9774,1.1276,1.7314,0.5267
yohF,-1,517,AGG,remaining AGR,0.923,1.0215,1.0538,0.9478,0.3607,0.1156,0.8992,0.2667
dusC,-1,913,AGG,remaining AGR,0.9623,0.9854,0.9893,0.9816,0.3496,0.0337,0.4065,0.0321
preT,1,223,AGA,remaining AGR,0.9973,1.0202,1.0353,0.972,1.0,1.0,0.0703,1.0
preT,1,1045,AGA,remaining AGR,0.9966,0.9417,0.9993,0.913,1.9307,1.0668,0.4045,1.2624
yeiB,-1,241,AGA,remaining AGR,0.952,0.9992,0.9803,1.0284,0.2913,0.2956,0.6345,0.365
yeiB,-1,1153,AGA,remaining AGR,1.0,0.9918,1.1553,1.1471,0.665,0.5597,1.9239,0.7069
yeiE,-1,166,AGA,remaining AGR,0.9478,1.0609,1.0029,0.9797,0.3715,0.5091,0.5326,0.5091
nupX,-1,298,AGG,remaining AGR,0.9805,0.9656,1.0557,0.9765,1.0755,1.089,0.359,1.089
rihB,-1,619,AGG,remaining AGR,1.0864,0.9748,1.066,0.9794,0.1546,0.0139,0.4065,0.0209
yeiL,1,142,AGG,remaining AGR,0.8694,0.9139,0.9627,0.8867,1.1783,0.7298,0.7634,0.7985
yeiL,1,592,AGA,remaining AGR,0.978,1.0692,1.0692,0.9915,0.6669,0.4867,3.0806,0.9189
yeiQ,1,982,AGA,remaining AGR,0.9425,1.0107,1.0302,0.9484,0.7985,0.3516,2.4598,0.8793
lpxT,1,262,AGA,remaining AGR,0.969,0.9276,1.0049,0.9483,0.7967,0.7908,1.0457,0.3301
lpxT,1,550,AGA,remaining AGR,0.8661,0.9408,1.0648,0.926,1.0223,16.314,3.3707,32.0434
rtn,1,796,AGA,remaining AGR,1.0035,1.0041,0.9927,0.9684,0.5731,1.0942,0.7298,0.3886
yejA,1,1081,AGA,remaining AGR,1.0137,1.0,1.1197,1.0068,1.0701,0.3995,3.7251,0.6639
yejF,1,661,AGA,remaining AGR,0.904,1.0168,0.9344,0.943,36.981,11.1075,47.3193,19.1711
yejF,1,1312,AGG,remaining AGR,0.8129,0.8432,0.9404,0.8069,1.3897,0.2836,0.6561,0.3053
yejM,1,250,AGG,remaining AGR,0.9014,0.8968,1.0,0.85,3.8991,2.2334,4.2663,3.9149
yejM,1,259,AGG,remaining AGR,0.9465,0.9503,0.9572,0.9041,0.115,0.1347,0.152,0.1813
yejM,1,1684,AGA,remaining AGR,1.0,1.0876,1.0265,1.0234,1.0,1.0,1.0,0.8488
narP,1,148,AGA,remaining AGR,1.0946,1.1271,1.0962,1.1241,0.4484,0.4671,1.1575,0.4671
narP,1,226,AGG,remaining AGR,1.0311,1.0311,1.0325,1.0623,0.0892,2.272,0.0752,2.272
ccmH,-1,568,AGG,remaining AGR,1.0137,1.0087,1.0017,0.9927,0.4649,0.2595,0.2112,0.2562
ccmH,-1,859,AGA,remaining AGR,1.0715,1.2116,1.0715,1.0745,0.3314,0.3314,1.8777,0.3314
ada,-1,133,AGA,remaining AGR,0.9219,0.9191,1.0,0.8828,1.0,0.7825,0.0183,0.7538
rcsD,1,2176,AGA,remaining AGR,0.9092,0.9465,0.9391,0.9092,0.4903,0.361,1.5939,0.395
rcsD,1,2470,AGG,remaining AGR,0.9173,0.9671,0.9859,0.9844,0.24,0.1337,0.3397,0.0958
rcsC,-1,55,AGA,remaining AGR,0.8992,0.9337,0.8942,0.8874,1.0726,16.8405,4.65,31.8764
rcsC,-1,2278,AGA,remaining AGR,0.9363,0.9421,0.9363,0.9954,0.0452,0.0452,0.297,0.0452
rcsC,-1,2824,AGG,remaining AGR,1.0668,1.0454,1.0411,1.0054,0.6865,0.3824,1.046,0.4269
rcsC,-1,2830,AGG,remaining AGR,1.0706,1.1587,1.0573,1.1169,0.0438,0.0076,0.1455,0.0195
atoS,1,445,AGG,remaining AGR,1.0414,1.0852,1.0814,1.0534,0.2884,0.1968,0.2404,0.2884
atoS,1,571,AGG,remaining AGR,0.955,1.0051,1.036,0.955,0.0615,0.0286,0.2456,0.037
atoC,1,550,AGA,remaining AGR,1.093,1.1396,1.0921,1.0912,1.046,0.2954,0.5414,0.2848
yfaP,-1,283,AGA,remaining AGR,1.1193,1.1088,1.1765,1.1599,25.8761,18.6932,0.2596,26.4717
ubiG,1,427,AGA,remaining AGR,1.0233,1.111,1.1276,1.0557,1.4389,0.2438,1.7227,0.7232
yfaL,-1,139,AGG,remaining AGR,1.0405,1.067,1.0695,1.0747,6.5237,4.1026,0.5389,4.489
yfaD,1,337,AGA,remaining AGR,1.0271,1.062,1.0871,1.0856,1.3152,0.0728,0.7362,0.2473
yfaD,1,580,AGG,remaining AGR,1.0,1.0,1.0,1.0,0.2198,0.0601,0.7809,0.1008
yfaD,1,601,AGA,remaining AGR,0.9981,1.1191,0.9785,1.0362,1.0701,0.1801,0.9091,0.0856
yfaD,1,724,AGA,remaining AGR,1.0347,1.0154,1.0156,1.0048,0.8737,0.7298,0.956,0.8737
rhmD,-1,952,AGG,remaining AGR,1.0162,1.0253,1.0103,1.0088,0.8575,0.1246,2.0339,0.2049
rhmR,-1,148,AGG,remaining AGR,0.9964,1.0248,1.0814,1.0712,0.2657,0.1747,0.8562,0.3657
rhmR,-1,202,AGG,remaining AGR,0.9668,1.1287,1.066,1.0489,1.31,0.5734,1.2842,0.975
ais,-1,142,AGA,remaining AGR,0.9555,0.9588,1.0187,1.0206,1.5684,1.5684,3.7951,1.5684
arnB,1,652,AGA,remaining AGR,1.0223,0.9975,1.0677,1.0207,6.6176,3.0196,8.4541,2.4735
arnB,1,946,AGA,remaining AGR,1.1168,1.287,1.2083,1.2053,1.0,0.158,0.6669,0.158
arnC,1,82,AGG,remaining AGR,0.9848,0.9148,1.0213,0.9321,0.4001,0.2478,0.7634,0.2711
arnC,1,889,AGG,remaining AGR,0.9656,0.9656,1.0,0.9819,0.1313,0.1206,0.5378,0.1055
arnA,1,154,AGA,remaining AGR,1.0,1.0,1.1117,1.0,1.1446,0.1924,0.9718,0.1286
arnA,1,601,AGA,remaining AGR,0.9885,1.0244,1.0146,0.9949,1.4821,1.8925,8.8738,1.802
arnT,1,760,AGA,remaining AGR,1.0033,1.0124,1.1117,1.0273,4.4862,2.7008,7.9561,2.6298
arnT,1,1282,AGA,remaining AGR,0.9667,0.9651,0.9778,0.9746,1.2397,70.3711,140.9049,68.5808
arnT,1,1477,AGA,remaining AGR,1.0235,1.0824,1.0218,1.0399,12.8553,6.5708,0.4702,12.5725
pmrD,-1,46,AGA,remaining AGR,0.9289,1.0646,1.0478,1.0346,1.0953,1.1446,1.1446,1.046
elaA,-1,190,AGG,remaining AGR,1.0449,1.1095,1.0541,1.0742,0.0791,0.0429,0.445,0.0469
rbn,1,568,AGG,remaining AGR,1.0134,1.041,1.0386,0.9951,0.2059,0.1502,0.5064,0.1247
rbn,1,862,AGG,remaining AGR,0.9471,0.9253,1.028,0.9601,0.3911,0.2329,0.7552,0.2329
elaD,1,217,AGA,remaining AGR,0.9789,0.9789,1.1056,0.9789,1.046,0.6482,2.9938,0.7092
elaD,1,598,AGA,remaining AGR,0.9206,0.9206,1.0271,0.9481,11.0038,6.8729,19.5159,7.5202
elaD,1,982,AGG,remaining AGR,0.9222,1.0662,0.99,0.9962,0.2876,0.0026,0.4065,0.0375
elaD,1,1036,AGA,remaining AGR,1.0,0.9342,1.0051,0.9544,0.9842,0.4867,2.5731,0.6376
elaD,1,1099,AGA,remaining AGR,0.9769,1.0923,1.0615,1.1768,1.046,0.6669,0.0561,0.7776
elaD,1,1150,AGA,remaining AGR,1.0105,1.1219,1.0272,1.0719,1.046,0.5663,6.4341,0.6196
elaD,1,1186,AGA,remaining AGR,1.0,1.0014,1.0653,1.0675,1.046,0.0957,0.5663,0.0977
elaD,1,1201,AGA,remaining AGR,1.066,1.066,1.1038,1.0731,0.8545,0.6236,0.8545,0.5211
yfbK,-1,262,AGA,remaining AGR,1.0,1.033,1.024,1.0922,0.5437,0.5437,2.244,0.4751
yfbK,-1,409,AGG,remaining AGR,1.0275,0.9746,1.0077,1.0038,0.1755,0.0978,0.4,0.1023
yfbK,-1,1669,AGG,remaining AGR,0.9118,0.9118,1.0248,0.9217,0.0617,0.0587,0.232,0.0587
yfbL,1,193,AGG,remaining AGR,1.0089,1.0089,1.0089,1.0089,0.3195,0.202,0.8353,0.2109
yfbL,1,238,AGA,remaining AGR,1.0021,1.0209,1.101,1.0351,0.289,0.0923,0.5186,0.1216
yfbL,1,688,AGA,remaining AGR,0.9763,0.9639,0.9939,0.9656,0.5827,0.5827,2.606,0.5827
yfbL,1,904,AGA,remaining AGR,1.1243,1.1973,1.1176,1.1032,0.978,0.9715,1.1262,1.2167
yfbN,-1,64,AGA,remaining AGR,0.9529,1.0206,0.937,1.0297,0.8353,1.1972,0.9402,0.8313
yfbN,-1,79,AGG,remaining AGR,1.1044,1.1177,1.1234,1.1637,0.0324,0.0222,0.1989,0.0534
yfbN,-1,532,AGA,remaining AGR,0.9962,1.1507,1.0205,1.2235,0.8031,0.2732,1.6484,0.4022
yfbN,-1,634,AGA,remaining AGR,0.9255,0.8935,1.0246,0.9477,0.3552,0.1196,2.0375,0.2265
yfbN,-1,703,AGA,remaining AGR,1.0324,0.7917,0.9907,0.7917,0.6866,0.0288,1.7161,0.0288
yfbP,1,343,AGG,remaining AGR,0.9123,0.9446,1.0291,0.9382,1.0942,0.9139,1.0,0.3272
yfbP,1,682,AGA,remaining AGR,1.1264,1.1529,1.1895,1.0993,0.0285,0.0409,0.2999,0.0357
yfbP,1,799,AGG,remaining AGR,0.9899,1.2699,0.9822,1.1285,0.2371,0.1909,0.9223,0.2622
lrhA,-1,49,AGA,remaining AGR,1.0217,1.0217,1.0217,1.0251,0.3275,0.239,0.8737,0.4694
lrhA,-1,235,AGG,remaining AGR,0.9857,0.9743,1.0457,0.9743,1.2574,0.5348,3.8135,0.7641
lrhA,-1,712,AGG,remaining AGR,0.9166,1.0094,1.0,1.0526,0.8737,1.046,0.5091,1.1446
lrhA,-1,925,AGG,remaining AGR,1.0153,0.9872,1.0127,0.985,0.1602,0.0647,0.3396,0.0791
yfbS,-1,67,AGA,remaining AGR,0.9794,0.9865,0.9829,0.9245,1.0,1.0,1.0,0.8817
yfbT,-1,88,AGA,remaining AGR,1.0336,1.1173,1.0385,1.0418,0.5481,0.4789,0.4377,0.2791
yfcC,1,31,AGA,AGR in first 30,1.0,1.0,1.0385,1.1688,1.046,27.0673,12.0409,1.4994
yfcC,1,34,AGA,remaining AGR,1.0,1.0,1.0518,1.0772,1.0,0.4818,2.0546,0.4551
yfcC,1,1414,AGG,remaining AGR,1.1789,1.0608,1.1585,1.0621,1.0041,0.6193,0.935,1.0041
yfcI,-1,379,AGA,remaining AGR,0.9089,1.0401,1.0729,0.9563,0.9842,0.7298,17.0352,0.7985
yfcI,-1,619,AGA,remaining AGR,0.9599,0.9704,1.1307,0.9746,0.9408,0.7794,3.5259,0.5852
yfcI,-1,745,AGA,remaining AGR,1.0641,1.1172,1.1797,1.0684,1.0,0.6095,1.6798,0.8992
yfcI,-1,817,AGA,remaining AGR,1.0307,1.1301,1.1277,1.1172,0.6376,0.1007,0.4252,0.0963
yfcI,-1,829,AGA,remaining AGR,1.0274,1.1931,1.0484,1.1121,0.9139,0.892,4.1203,0.6505
hisM,-1,409,AGA,remaining AGR,1.0,1.0,1.0,1.0,2.5965,1.7161,2.5504,2.0681
cvpA,-1,436,AGA,remaining AGR,0.9979,0.9673,0.9847,0.9276,3.4152,3.0195,13.6723,3.1585
cvpA,-1,481,AGA,remaining AGR,0.8954,0.9663,0.8731,0.8929,2.1342,0.0748,1.1155,0.3473
folC,-1,1249,AGG,remaining AGR,0.9673,0.9778,0.9571,0.9574,0.0093,0.0052,0.5073,0.0093
dedA,-1,415,AGA,remaining AGR,1.0347,1.079,1.0347,1.0063,0.7443,0.5924,4.1024,0.6961
truA,-1,613,AGG,remaining AGR,0.9918,0.9976,1.0911,0.9958,0.4214,0.4018,0.9223,0.4912
truA,-1,697,AGA,remaining AGR,1.0,1.0712,1.0,1.0205,1.1159,0.3301,0.6312,0.7094
pdxB,-1,931,AGG,remaining AGR,0.9525,1.004,0.9926,0.9915,63.6507,48.5883,33.8977,63.6507
flk,1,154,AGA,remaining AGR,1.0032,1.0386,1.1191,1.0193,1.046,0.3038,0.7827,0.1415
flk,1,178,AGG,remaining AGR,1.1206,1.0635,1.092,0.9968,0.3027,0.1865,1.2397,0.1799
mnmC,1,595,AGG,remaining AGR,1.009,0.9895,1.0093,1.0219,0.5912,0.1816,0.5862,0.4404
fadJ,-1,1006,AGA,remaining AGR,1.0255,1.0509,1.0364,1.0255,1.046,0.7207,3.5843,0.6972
fadJ,-1,1729,AGA,remaining AGR,1.024,1.02,1.052,1.064,0.1027,0.0898,0.1686,0.0547
yfdF,1,196,AGA,remaining AGR,1.0057,0.9328,1.0253,1.0789,1.0266,0.6079,2.6843,0.6652
yfdF,1,460,AGA,remaining AGR,1.0863,1.0821,1.0946,1.1487,0.4448,0.0158,0.6482,0.0361
yfdF,1,631,AGA,remaining AGR,1.0928,1.0744,1.0598,1.096,0.4448,0.2741,0.5663,0.1797
yfdF,1,685,AGG,remaining AGR,0.9529,0.9392,1.0018,0.9672,18.0093,24.6782,1.0597,24.6782
yfdF,1,784,AGA,remaining AGR,1.0427,1.1345,1.0838,1.1554,1.0,0.7985,1.0,0.957
yfdF,1,790,AGA,remaining AGR,1.0739,1.1093,1.0202,1.0951,1.046,0.3226,1.3017,0.2048
yfdF,1,832,AGA,remaining AGR,1.0,1.0803,1.0084,1.1196,55.262,44.1266,2.505,55.262
yfdF,1,979,AGG,remaining AGR,0.9583,0.9814,1.0,1.0278,0.178,0.1373,0.4065,0.1048
torI,1,139,AGA,remaining AGR,1.1564,1.0313,1.1296,1.0313,0.4481,0.5111,2.6483,0.7004
dsdC,-1,82,AGG,remaining AGR,1.0361,1.0139,1.0306,1.0417,0.4579,0.5827,0.6669,0.6376
dsdC,-1,553,AGA,remaining AGR,1.0,0.9996,1.0187,0.9851,1.0,1.0,0.0112,1.0
dsdC,-1,610,AGA,remaining AGR,1.0635,1.0635,1.0635,1.0635,0.1455,0.1455,0.4409,0.1455
dsdC,-1,763,AGA,remaining AGR,1.0029,1.0473,1.053,1.0014,0.4065,0.2937,0.1168,0.4065
dsdC,-1,784,AGG,remaining AGR,0.96,0.96,1.0024,0.96,0.4653,22.5197,0.4695,17.7343
dsdC,-1,871,AGG,remaining AGR,1.0297,1.0127,1.0,0.9746,0.2165,0.1262,0.2165,0.207
dsdC,-1,910,AGA,remaining AGR,1.0,0.9748,1.0084,0.9748,0.6227,0.4186,1.5308,0.304
dsdX,1,262,AGA,remaining AGR,1.0,1.0244,1.0096,1.0,0.7298,0.7298,0.018,0.7298
emrY,-1,223,AGG,remaining AGR,0.976,0.8849,0.944,0.8741,5.1801,5.1801,5.1801,5.1801
emrY,-1,235,AGA,remaining AGR,0.9346,0.9129,0.9402,0.8785,0.716,0.2124,2.1492,0.4565
emrY,-1,250,AGA,remaining AGR,0.9406,1.0436,1.0183,0.9549,0.7216,0.4232,1.8688,0.4631
emrY,-1,337,AGA,remaining AGR,0.9643,0.9935,1.0531,1.0113,1.046,0.1213,1.2444,0.183
emrY,-1,397,AGG,remaining AGR,0.9388,0.9263,1.0085,0.9458,0.1487,0.0626,0.1495,0.088
emrY,-1,418,AGA,remaining AGR,0.9552,0.972,0.9552,0.9552,1.046,0.4556,2.7906,1.4994
emrY,-1,586,AGA,remaining AGR,1.0,1.0112,1.1248,0.9981,1.0,0.8353,0.0921,1.4334
emrK,-1,37,AGA,remaining AGR,1.0,1.0536,0.9759,0.991,0.8327,0.8327,17.0352,0.4156
emrK,-1,40,AGA,remaining AGR,0.8958,0.8567,0.877,0.7942,0.6884,0.3776,4.2545,0.3013
evgA,1,202,AGG,remaining AGR,1.0045,1.0045,1.0307,1.0045,0.0109,0.0109,0.1653,0.0171
evgS,1,274,AGA,remaining AGR,0.9318,0.8835,0.995,0.9234,1.046,0.2011,1.2731,0.2011
evgS,1,736,AGA,remaining AGR,0.9846,0.9626,1.0991,0.9648,2.3671,2.175,7.518,2.175
evgS,1,772,AGA,remaining AGR,1.0967,0.9825,1.0887,1.0457,1.2021,59.9165,5.0998,43.8978
evgS,1,1984,AGA,remaining AGR,1.0685,1.025,1.0343,0.8972,0.1993,0.2769,1.7771,0.2769
evgS,1,2170,AGA,remaining AGR,0.9716,0.9776,1.0379,0.9972,0.4185,0.2265,2.2481,0.2478
evgS,1,2911,AGG,remaining AGR,0.8638,0.9147,1.0036,0.928,0.3342,0.207,0.7985,0.2265
evgS,1,3388,AGA,remaining AGR,1.004,1.1173,1.1179,1.0284,1.046,0.5663,2.5006,0.6196
yfdE,-1,109,AGG,remaining AGR,0.9363,0.9314,0.9911,0.9514,0.6564,0.0721,0.6712,0.1242
yfdE,-1,586,AGA,remaining AGR,0.9806,0.9563,0.9736,1.0157,1.0,0.1895,2.7338,0.3013
yfdE,-1,925,AGA,remaining AGR,0.9734,1.0088,0.9879,0.9782,1.046,1.0,2.7906,1.4994
yfdE,-1,1003,AGA,remaining AGR,1.075,1.1761,1.1957,1.1011,0.8089,0.6756,1.327,1.1594
yfdV,-1,70,AGA,remaining AGR,0.958,1.0472,0.9561,0.9693,1.0,0.6977,0.6977,1.2524
yfdV,-1,172,AGG,remaining AGR,1.0786,1.0707,1.0635,0.9753,0.3033,2.4641,0.7985,6.0484
oxc,-1,1435,AGA,remaining AGR,1.0352,1.0697,1.0989,1.0989,0.2908,0.0719,0.1184,0.0306
oxc,-1,1501,AGG,remaining AGR,0.9103,0.922,1.0027,0.9103,50.0484,50.0484,0.8817,50.0484
ypdI,1,97,AGG,remaining AGR,0.966,1.072,1.0102,1.0278,0.0894,0.0476,0.6376,0.0554
ypdI,1,187,AGA,remaining AGR,0.9717,1.1113,1.0263,1.0183,0.2648,0.0706,0.2364,0.0751
yfdY,-1,235,AGG,remaining AGR,1.0341,1.1708,1.0608,1.0432,0.1024,0.0562,0.0034,0.181
lpxP,1,535,AGA,remaining AGR,0.9094,1.0041,0.8936,0.9541,12.8291,7.8988,76.2268,23.4974
lpxP,1,727,AGA,remaining AGR,1.0146,1.0661,1.0679,1.0228,0.228,0.0956,2.5087,0.1568
alaC,-1,1162,AGA,remaining AGR,1.0207,1.1293,1.1389,1.0994,1.0,0.2635,3.7493,0.2302
ypdC,1,715,AGG,remaining AGR,1.0574,1.1195,1.0637,1.0725,11.5173,16.47,13.789,20.4897
ypdE,-1,1033,AGA,remaining AGR,1.0347,1.0312,1.0893,1.1081,1.4619,1.2559,4.749,1.2858
mntH,-1,52,AGG,remaining AGR,1.0291,1.0916,1.0471,1.0527,0.0136,0.0136,0.0398,0.0136
yfeA,-1,604,AGG,remaining AGR,0.9568,1.0849,1.0133,0.9991,0.2968,0.0224,0.4448,0.0331
yfeA,-1,1429,AGA,remaining AGR,1.0375,1.0916,1.0607,1.1026,0.1323,0.1056,1.0,0.0037
yfeA,-1,2041,AGA,remaining AGR,0.9421,0.9867,0.9346,0.957,0.5933,0.3514,0.4815,0.3845
yfeD,1,85,AGA,remaining AGR,1.0,1.0308,1.1354,0.9938,0.8737,0.1833,1.2444,0.215
yfeD,1,139,AGA,remaining AGR,0.9253,1.1023,0.926,1.0205,20.0865,16.3116,23.0409,6.4745
yfeD,1,229,AGA,remaining AGR,1.0729,1.0702,1.0837,1.1955,10.0325,8.7865,0.4653,14.3804
xapR,-1,361,AGG,remaining AGR,0.9366,1.0324,0.9841,0.9782,1.1607,0.3552,0.4065,0.3254
yfeR,-1,154,AGA,remaining AGR,0.961,1.0984,0.9814,1.0414,1.0,0.5096,2.3305,0.8649
yfeR,-1,817,AGG,remaining AGR,0.9867,0.9911,0.9971,0.9767,0.0789,0.0769,0.3482,0.1166
yfeH,1,79,AGA,remaining AGR,0.9247,1.0137,1.0955,0.9435,1.046,0.2223,0.8491,0.1464
ptsI,1,1099,AGA,remaining AGR,1.0093,1.0093,1.1626,1.0093,1.0404,1.0322,1.4415,0.8606
pdxK,-1,34,AGG,remaining AGR,1.0409,1.0653,1.0537,1.0569,2.5025,0.3858,2.7112,0.3894
ucpA,-1,70,AGA,remaining AGR,0.9338,1.0828,0.9793,0.9462,1.046,0.5132,2.7906,1.4664
hemF,1,886,AGG,remaining AGR,0.8912,0.876,1.0282,0.8557,0.2757,0.2266,0.6095,0.1923
eutK,-1,295,AGG,remaining AGR,0.8936,0.9067,0.9517,0.958,2.0381,0.8649,0.3678,0.7045
eutK,-1,424,AGA,remaining AGR,0.972,0.9504,0.9508,0.9198,5.8079,4.8315,0.2375,6.3293
eutD,-1,46,AGA,remaining AGR,0.9519,1.1257,1.0059,1.0593,1.0,1.046,0.0139,1.0942
maeB,-1,1966,AGG,remaining AGR,1.0325,1.189,1.0503,1.127,0.1854,0.1368,0.1694,0.0689
tktB,1,1555,AGG,remaining AGR,0.9682,1.0259,1.0276,0.967,0.082,0.048,0.3341,0.0307
narQ,1,1309,AGG,remaining AGR,0.8931,0.918,0.9718,0.8906,0.0687,0.8752,0.1808,2.8454
acrD,1,781,AGG,remaining AGR,0.9821,0.9834,1.0,1.0313,0.305,0.0368,0.412,0.0946
tmcA,-1,655,AGA,remaining AGR,1.0,1.0288,1.0672,1.0,1.4368,0.611,3.697,1.5721
hyfA,1,211,AGG,remaining AGR,1.0058,0.8942,0.9854,0.8848,0.1793,0.9367,0.1498,0.7824
hyfB,1,85,AGA,remaining AGR,0.9786,0.9759,1.0037,0.9356,0.4867,0.4867,1.1777,0.4867
hyfB,1,463,AGG,remaining AGR,0.894,0.9875,0.9393,0.8859,0.1231,0.1231,0.5571,0.1231
hyfB,1,1816,AGG,remaining AGR,0.9601,0.9754,0.9853,0.9198,0.1778,0.1103,0.2712,0.0763
hyfB,1,1849,AGG,remaining AGR,0.9774,1.0408,0.9774,0.9977,1.3212,0.1157,0.8194,0.1247
hyfE,1,589,AGA,remaining AGR,1.0393,1.047,1.0595,1.1222,1.0471,0.8488,1.8949,0.6943
hyfF,1,82,AGA,remaining AGR,1.0779,1.0688,1.1596,1.1102,0.3246,0.1444,0.4867,0.2603
hyfF,1,1453,AGG,remaining AGR,0.9499,0.9603,0.9499,0.9499,0.2938,0.0253,1.6867,0.1487
hyfH,1,262,AGA,remaining AGR,1.0,0.9591,1.2636,0.9212,1.046,0.1621,0.6793,0.1273
hyfJ,1,400,AGA,remaining AGR,0.9469,1.0118,0.9699,0.9988,1.0723,0.1981,2.3045,0.4872
hyfR,1,1156,AGA,remaining AGR,1.0,1.0385,1.035,0.9994,1.046,0.0638,0.5414,0.0668
hyfR,1,1423,AGA,remaining AGR,1.0305,1.0884,1.0931,1.0403,0.5326,0.5326,0.5326,0.5326
hyfR,1,1444,AGA,remaining AGR,0.9266,0.9248,1.0399,0.9136,1.0503,13.9739,46.4095,54.9411
focB,1,40,AGA,remaining AGR,0.9752,1.0063,0.9989,0.9752,0.9139,4.5643,45.3294,0.9139
hda,-1,595,AGA,remaining AGR,1.0068,1.0331,0.9873,0.9754,1.0942,0.8427,5.3336,1.9816
uraA,-1,31,AGA,AGR in first 30,0.8935,0.8935,0.9172,0.9527,0.479,0.3172,1.1972,0.3312
purM,1,73,AGA,remaining AGR,1.0149,1.0413,1.0344,0.9899,1.0,0.397,3.2965,1.1535
ppk,1,103,AGG,remaining AGR,0.9631,0.9992,0.9968,0.9641,33.5215,20.4327,17.4208,22.3572
yfgF,-1,310,AGG,remaining AGR,0.9451,0.9451,1.0366,1.0055,0.4932,0.0885,0.5873,0.0902
yfgF,-1,454,AGA,remaining AGR,1.0218,0.9513,1.0111,0.9911,3.7615,0.6967,2.9992,1.1917
yfgF,-1,958,AGA,remaining AGR,0.9876,1.1402,1.0491,1.0816,0.9769,1.0218,1.2234,0.9637
yfgF,-1,970,AGA,remaining AGR,0.9942,1.1247,1.0562,0.9969,0.9408,0.5576,2.5164,0.4606
yfgF,-1,1717,AGA,remaining AGR,0.9813,0.8997,1.0783,0.878,1.046,0.2466,2.0799,0.2652
yfgI,1,124,AGG,remaining AGR,0.9494,0.9873,1.0,1.0759,1.0942,1.0942,1.0,0.3272
yfgI,1,157,AGG,remaining AGR,0.9742,1.1265,0.9901,1.0649,0.2874,0.049,0.4065,0.1056
yfgI,1,214,AGA,remaining AGR,1.0,0.9897,1.0237,0.9619,1.046,0.9937,2.4285,0.4993
yfgI,1,457,AGA,remaining AGR,0.8548,0.8904,0.9637,0.8984,1.3975,1.1673,0.1263,1.6456
rodZ,-1,958,AGA,remaining AGR,0.9882,0.9727,0.9988,0.9832,0.6648,0.2801,1.3391,0.3576
pbpC,-1,721,AGG,remaining AGR,0.8946,0.953,1.075,0.9462,1.6638,0.5326,0.3886,0.3953
pbpC,-1,1612,AGA,remaining AGR,1.0476,0.9825,1.0546,1.0102,0.0561,0.0561,0.0313,0.0218
yfhM,-1,163,AGA,remaining AGR,0.893,0.9856,0.9779,0.9725,0.8737,0.5975,0.7466,0.6403
yfhM,-1,1303,AGG,remaining AGR,0.9561,0.9857,1.032,0.9992,0.0313,0.0374,0.7985,0.027
iscA,-1,91,AGA,remaining AGR,1.0,0.9635,0.9415,0.9337,0.3651,0.0399,1.5594,0.1586
csiE,1,694,AGA,remaining AGR,1.0,1.0033,0.9703,0.95,0.8268,0.5461,0.8268,0.9148
csiE,1,868,AGA,remaining AGR,0.9679,0.9837,1.0834,1.0042,0.9408,0.9139,2.4598,0.9139
hcaR,-1,148,AGG,remaining AGR,0.9001,0.9399,0.9429,0.9066,0.0342,0.0014,0.0443,0.004
hcaR,-1,268,AGA,remaining AGR,1.0275,1.0734,0.9962,0.991,0.9408,0.8691,1.8777,0.8691
hcaR,-1,343,AGA,remaining AGR,1.0,1.0769,1.018,1.028,1.0,1.0,3.4684,0.956
hcaD,1,406,AGA,remaining AGR,0.8985,0.8743,0.9497,0.9033,1.0,1.0,0.2852,0.8188
hcaD,1,499,AGA,remaining AGR,0.9842,1.0745,0.9988,1.0044,0.0952,0.0011,0.5571,0.0707
yphF,-1,73,AGG,remaining AGR,1.008,1.0381,1.0225,1.0356,0.2402,0.0067,0.3823,0.0109
yphG,-1,1252,AGG,remaining AGR,0.9883,1.0368,1.0059,0.9921,0.3553,0.2266,0.576,0.1385
yphG,-1,2713,AGA,remaining AGR,0.9431,1.0125,1.0534,0.9839,0.7257,0.4955,1.9094,0.5677
glrR,-1,1255,AGA,remaining AGR,1.0425,1.0954,1.1054,1.118,0.3612,0.3612,0.3612,0.3612
glrK,-1,763,AGA,remaining AGR,0.9468,0.9468,1.0172,1.0289,0.3825,0.2369,0.956,0.2592
glrK,-1,1324,AGG,remaining AGR,1.1879,1.3314,1.1469,1.2699,0.3889,8.673,12.8584,5.2202
purL,-1,79,AGG,remaining AGR,0.9164,0.9184,1.0082,0.9212,0.2556,0.0135,0.0216,0.0582
mltF,1,1528,AGG,remaining AGR,1.0177,1.0177,1.0177,1.0177,0.0021,0.0021,0.1729,0.0021
recO,-1,556,AGG,remaining AGR,1.0164,0.9973,1.0218,1.0461,1.632,1.3631,3.0644,1.3669
rpoE,-1,382,AGA,remaining AGR,1.0098,0.9994,1.0383,0.9851,0.2554,0.2554,1.1443,0.2554
